99999,99,БЕЗ ДИЈАГНОЗА
А00,,КОЛЕРА
А00,0,КОЛЕРА ПРЕДИЗВИКАНА СО VIBRIO CHOLERAE 01, БИОВАР КОЛЕРА
А00,1,КОЛЕРА ПРЕДИЗВИКАНА СО VIBRIO CHOLERAE 01, БИОВАР ЕЛТОР
А00,9,КОЛЕРА, НЕОЗНАЧЕНО
А01,,ТИФУСНИ И ПАРАТИФУСНИ ТРЕСКИ
А01,0,ТРИФУСНА ТРЕСКА
А01,1,ПАРАТИФУСНА ТРЕСКА А
А01,2,ПАРАТИФУСНА ТРЕСКА B
А01,3,ПАРТИФУСНА ТРЕСКА C
А01,4,ПАРАТИФУСНА ТРЕСКА ,НЕОЗНАЧЕНО
А02,,ДРУГИ САЛМОНЕЛНИ ИНФЕКЦИИ
А02,0,САЛМОНЕЛЕН ЕНТЕРИТ
А02,1,САЛМОНЕЛНА СЕПТИКЕМИЈА
А02,2*,ЛОКАЛИЗИРАНИ САЛМОНЕЛНИ ИНФЕКЦИИ
А02,8,ДРУГИ ОНАЧЕНИ САЛМОНЕЛНИ ИНФЕКЦИИ
А02,9,САЛМОНЕЛНА ИНФЕКЦИЈА,НЕОЗНАЧЕНО
А03,,ШИГЕЛОЗА
А03,0,ШИГЕЛОЗА ПРЕДИЗВИКАНА СО SHIGELA DYSENTERIAE 
А03,1,ШИГЕЛОЗА ПРЕДИЗВИКАНА СО SHIGELA FLEXNERI
А03,2,ШИГЕЛОЗА ПРЕДИЗВИКАНА СО SHIGELA  BOYDII 
А03,3,ШИГЕЛОЗА ПРЕДИЗВИКАНА СО SHIGELA SONNEI 
А03,8,ДРУГА ШИГЕЛОЗА
А03,9,ШИГЕЛОЗА,НЕОЗНАЧЕНО
А04,,ДРУГИ БАКТЕРИСКИ ЦРЕВНИ ИНФЕКЦИИ
А04,0,ЕНТЕРОПАТОГЕНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA COLI
А04,1,ЕНТЕРОТОКСИЧНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA COLI
А04,2,ЕНТЕРОИНВАЗИВНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA COLI
А04,3,ЕНТЕРОХЕМОРАГИЧНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA COLI
А04,4,ДРУГИ ЦРЕВНИ ИНФЕКЦИИ ПРЕДИЗВИКАНИ СО ESCHERICHIA COLI
А04,5,КАМПИЛОБАКТЕР ЕНТЕРИТ
А04,6,ЕНТЕРИТ ПРЕДИЗВИКАН СО YERSINIA ENTEROCOLITICA
А04,7,ЕНТЕРОКОЛИТ ПРЕДИЗВИКАН СО CLOSTRIDIUM DIFFICILE
А04,8,ДРУГИ ОЗНАЧЕНИ БАКТЕРИСКИ ЦРЕВНИ ИНФЕКЦИИ
А04,9,БАКТЕРИСКА ЦРЕВНА ИНФЕКЦИЈА,НЕОЗНАЧЕНО
А04,О,ЕНТЕРОПАТОГЕНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA  COLI
А05,,ДРУГИ БАКТЕРИСКИ АЛИМЕНТАРНИ ИНТОКСИКАЦИИ
А05,0,АЛИМЕНТАРНА СТАФИЛОКОКНА ИНТОКСИКАЦИЈА
А05,1,БОТУЛИЗАМ
А05,2,АЛИМЕН.ИНТОКСИК.ПРЕДИЗ.СО CLOSTIDIUM PERFRINGENS (CLOSTRIDIUM WELCHII)
А05,3,АЛИМЕНТАРНА ИНТОКСИКАЦИЈА ПРЕДИЗВИКАНА СО VIBRIO PARAHAEMOLYTICUS
А05,4,АЛИМЕНТАРНА ИНТОКСИКАЦИЈА ПРЕДИЗВИКАНА СО BACILLUS CEREUS
А05,8,ДРУГИ ОЗНАЧЕНИ БАКТЕРИСКИ АЛИМЕНТАРНИ ИНТОКСИКАЦИИ
А05,9,БАКТЕРИСКА АЛИМЕНТАРНА ИНТОКСИКАЦИЈА,НЕОЗНАЧЕНО
А06,,АМЕБИЈАЗА
А06,0,АКУТНА АМЕБНА ДИЗЕНТЕРИЈА
А06,1,ХРОНИЧНА ЦРЕВНА АМЕБИЈАЗА
А06,2,АМЕБЕН НЕДИЗЕНТЕРИЧЕН КОЛИТ
А06,3,ЦРЕВЕН АМЕБОМ
А06,4,АМЕБЕН АПСЦЕС НА ЦРНИОТ ДРОБ
А06,5*,АМЕБЕН АПСЦЕС НА БЕЛ ДРОБ(Ј99.8*)
А06,6*,АМЕБЕН АПСЦЕС НА МОЗОКОТ(G07*)
А06,7,КУТАНА АМЕБИЈАЗА
А06,8,АМЕБНА ИНФЕКЦИЈА НА ДРУГИ  ЛОКАЛИЗАЦИИ
А06,9,АМЕБИЈАЗА,НЕОЗНАЧЕНО
А07,,ДРУГИ ПРОТОЗОАЛНИ ЦРЕВНИ БОЛЕСТИ
А07,0,БАЛАНТИДИЈАЗА
А07,1,ГИЈАРДИЈАЗА (ЛАМБЛИЈАЗА)
А07,2,КРИПТОСПОРИДИОЗА
А07,3,ИЗОСПОРИЈАЗА
А07,8,ДРУГИ ОЗНАЧЕНИ ПРОТОЗОАЛНИ ЦРЕВНИ БОЛЕСТИ
А07,9,ПРОТОЗОАЛНА ЦРЕВНА БОЛЕСТ,НЕОЗНАЧЕНО
А08,,ВИРУСНИ И ДРУГИ ОЗНАЧЕНИ ЦРЕВНИ ИНФЕКЦИИ
А08,0,РОТАВИРУСЕН ЕНТЕРИТ
А08,1,АКУТНА ГАСТРОЕНТЕРОПАТИЈА ПРЕДИЗВИКАНА СО NORTWALK АГЕНС
А08,2,АДЕНОВИРУСЕН ЕНТЕРИТ
А08,3,ДРУГ ВИРУСЕН ЕНТЕРИТ
А08,4,ВИРУСНА ЦРЕВНА ИНФЕКЦИЈА, НЕОЗНАЧЕНО
А08,5,ДРУГИ ОЗНАЧЕНИ ЦРЕВНИ ИНФЕКЦИИ
А09,,ДИЈАРЕЈА И ГАСТРОЕНТЕРИТ ЗА КОИ СЕ ПРЕТПОСТАВУВА ДЕКА СЕ ОД ИНФ.ПОТЕКЛО
А15,,РЕСПИРАТОРНА ТУБЕРКУЛОЗА,БАКТЕРИОЛОШКИ И ХИСТОЛОШКИ ПОТВРДЕНА
А15,0,ТУБЕРКУЛ.НА БЕЛ ДРОБ,ПОТВРД.СО МИКРОСК.ПРЕГ.НА СПУТУМ СО ИЛИ БЕЗ КУЛТУРА
А15,1,ТУБЕРКУЛОЗА НА БЕЛ ДРОБ, ПОТВРДЕНА САМО СО КУЛТУРА
