1%|99999%|99%|БЕЗ ДИЈАГНОЗА   
2%|А00%|0%|КОЛЕРА   
3%|А00%|0%|КОЛЕРА ПРЕДИЗВИКАНА СО VIBRIO CHOLERAE 01 БИОВАР КОЛЕРА  
4%|А00%|1%|КОЛЕРА ПРЕДИЗВИКАНА СО VIBRIO CHOLERAE 01 БИОВАР ЕЛТОР  
5%|А00%|9%|КОЛЕРА НЕОЗНАЧЕНО  
6%|А01%|0%|ТИФУСНИ И ПАРАТИФУСНИ ТРЕСКИ   
7%|А01%|0%|ТРИФУСНА ТРЕСКА   
8%|А01%|1%|ПАРАТИФУСНА ТРЕСКА А   
9%|А01%|2%|ПАРАТИФУСНА ТРЕСКА B   
10%|А01%|3%|ПАРТИФУСНА ТРЕСКА C   
11%|А01%|4%|ПАРАТИФУСНА ТРЕСКА НЕОЗНАЧЕНО  
12%|А02%|0%|ДРУГИ САЛМОНЕЛНИ ИНФЕКЦИИ   
13%|А02%|0%|САЛМОНЕЛЕН ЕНТЕРИТ   
14%|А02%|1%|САЛМОНЕЛНА СЕПТИКЕМИЈА   
15%|А02%|2*%|ЛОКАЛИЗИРАНИ САЛМОНЕЛНИ ИНФЕКЦИИ   
16%|А02%|8%|ДРУГИ ОНАЧЕНИ САЛМОНЕЛНИ ИНФЕКЦИИ   
17%|А02%|9%|САЛМОНЕЛНА ИНФЕКЦИЈА НЕОЗНАЧЕНО  
18%|А03%|0%|ШИГЕЛОЗА   
19%|А03%|0%|ШИГЕЛОЗА ПРЕДИЗВИКАНА СО SHIGELA DYSENTERIAE   
20%|А03%|1%|ШИГЕЛОЗА ПРЕДИЗВИКАНА СО SHIGELA FLEXNERI   
21%|А03%|2%|ШИГЕЛОЗА ПРЕДИЗВИКАНА СО SHIGELA  BOYDII   
22%|А03%|3%|ШИГЕЛОЗА ПРЕДИЗВИКАНА СО SHIGELA SONNEI   
23%|А03%|8%|ДРУГА ШИГЕЛОЗА   
24%|А03%|9%|ШИГЕЛОЗА НЕОЗНАЧЕНО  
25%|А04%|0%|ДРУГИ БАКТЕРИСКИ ЦРЕВНИ ИНФЕКЦИИ   
26%|А04%|0%|ЕНТЕРОПАТОГЕНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA COLI   
27%|А04%|1%|ЕНТЕРОТОКСИЧНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA COLI   
28%|А04%|2%|ЕНТЕРОИНВАЗИВНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA COLI   
29%|А04%|3%|ЕНТЕРОХЕМОРАГИЧНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA COLI   
30%|А04%|4%|ДРУГИ ЦРЕВНИ ИНФЕКЦИИ ПРЕДИЗВИКАНИ СО ESCHERICHIA COLI   
31%|А04%|5%|КАМПИЛОБАКТЕР ЕНТЕРИТ   
32%|А04%|6%|ЕНТЕРИТ ПРЕДИЗВИКАН СО YERSINIA ENTEROCOLITICA   
33%|А04%|7%|ЕНТЕРОКОЛИТ ПРЕДИЗВИКАН СО CLOSTRIDIUM DIFFICILE   
34%|А04%|8%|ДРУГИ ОЗНАЧЕНИ БАКТЕРИСКИ ЦРЕВНИ ИНФЕКЦИИ   
35%|А04%|9%|БАКТЕРИСКА ЦРЕВНА ИНФЕКЦИЈА НЕОЗНАЧЕНО  
36%|А04%|О%|ЕНТЕРОПАТОГЕНА ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ESCHERIHIA  COLI   
37%|А05%|0%|ДРУГИ БАКТЕРИСКИ АЛИМЕНТАРНИ ИНТОКСИКАЦИИ   
38%|А05%|0%|АЛИМЕНТАРНА СТАФИЛОКОКНА ИНТОКСИКАЦИЈА   
39%|А05%|1%|БОТУЛИЗАМ   
40%|А05%|2%|АЛИМЕН.ИНТОКСИК.ПРЕДИЗ.СО CLOSTIDIUM PERFRINGENS (CLOSTRIDIUM WELCHII)   
41%|А05%|3%|АЛИМЕНТАРНА ИНТОКСИКАЦИЈА ПРЕДИЗВИКАНА СО VIBRIO PARAHAEMOLYTICUS   
42%|А05%|4%|АЛИМЕНТАРНА ИНТОКСИКАЦИЈА ПРЕДИЗВИКАНА СО BACILLUS CEREUS   
43%|А05%|8%|ДРУГИ ОЗНАЧЕНИ БАКТЕРИСКИ АЛИМЕНТАРНИ ИНТОКСИКАЦИИ   
44%|А05%|9%|БАКТЕРИСКА АЛИМЕНТАРНА ИНТОКСИКАЦИЈА НЕОЗНАЧЕНО  
45%|А06%|0%|АМЕБИЈАЗА   
46%|А06%|0%|АКУТНА АМЕБНА ДИЗЕНТЕРИЈА   
47%|А06%|1%|ХРОНИЧНА ЦРЕВНА АМЕБИЈАЗА   
48%|А06%|2%|АМЕБЕН НЕДИЗЕНТЕРИЧЕН КОЛИТ   
49%|А06%|3%|ЦРЕВЕН АМЕБОМ   
50%|А06%|4%|АМЕБЕН АПСЦЕС НА ЦРНИОТ ДРОБ   
